task_id,task_group,task_name,task_desc,prompt_golden,response_golden,used_sql
1.1,律師,依名稱快速檢索法規,"-
  律師在準備案件時，能快速根據法規名稱（或部分名稱）進行模糊查詢，以定位相關法規。-
  獲取法規的基本身份資訊，如PCode、性質、類別等，作為初步篩選依據。","作為一名律師，我需要查詢所有名稱包含「政府採購」
  的法規，以便快速了解相關法律框架。",法規名稱：政府採購法,"SELECT xml_law_name, pcode, xml_law_nature,
  xml_law_category FROM laws WHERE xml_law_name ILIKE '%政府採購%';"
1.2,律師,獲取法規完整內容與條文細節,"-
  律師在準備複雜案件時，需要獲取特定法規的完整內容，包括所有法條的詳細文本，以便進行全面分析。-
  包含法規基本資訊及所有法條內容，便於上下文理解。","作為律師，我需要查看PCode為「A0000001」的《中華民國憲法》所有條文
  內容，以確保我的法律意見完整。","法規名稱：中華民國憲法, 條文內容：...",SELECT f_get_law_full_content('A0000001');
1.3,律師,檢索特定法條的詳細內容,"- 律師在分析具體案情時，能精準查詢特定法規的特定法條內容，以確認其適用性。-
  包含條文內容、編章節等，提供法條的完整語境。","作為律師，我需要查詢「政府採購法」的「第 1
  條」條文內容，以確認其立法宗旨。","法規名稱：政府採購法, 條號：第 1 條, 條文內容：為建立政府採購制度，依公平、公開之
  採購程序，提升採購效率與功能，確保採購品質，並維護公共利益及公平合理之採購環境，特制定本法。","SELECT
  f_get_article_details_with_concepts('P0000001', '第 1 條');"
1.4,律師,分析特定法條相關法律概念,"-
  律師在分析特定法條時，能快速識別該法條中提及或相關的法律概念，深入理解法條的核心構成要素。- 幫助理解法條的核心術語及
  其在條文中的應用。",作為律師，我需要分析《政府採購法》第2條，請列出其中涉及的所有法律概念。,"概念名稱：採購,
  概念名稱：工程, 概念名稱：財物","SELECT lc.name FROM legal_concepts lc JOIN article_legal_concept alc ON lc.id =
  alc.legal_concept_id JOIN articles a ON alc.article_id = a.id JOIN laws l ON a.law_id = l.id WHERE l.pcode =
  'P0000001' AND a.xml_article_number = '第 2 條';"
1.5,律師,識別法規的外部關聯法規,"-
  律師在處理涉及多部法規的案件時，能快速識別特定法規所涉及的所有外部關聯法規，確保不遺漏任何相關規範。-
  包含關聯類型和關聯說明，提供跨法規的參考依據。","作為律師，我需要了解《政府採購法》所有外部關聯的法規，以便全面評估案
  件。","關聯法規：最有利標評選辦法, 關聯類型：法條-法規, 關聯說明：法條授權子法規","SELECT lr.related_law_name,
  lr.relationship_type, lr.data->>'關聯說明' FROM law_relationships lr JOIN laws l ON lr.main_law_id = l.id WHERE
  l.xml_law_name = '政府採購法';"
2.1,法官,獲取法規完整內容與條文細節,"-
  法官在審理或準備複雜案件時，需要獲取特定法規的完整內容，包括所有法條的詳細文本，以便進行全面分析。-
  包含法規基本資訊及所有法條內容，便於上下文理解。","作為法官，我需要查看PCode為「A0000001」的《中華民國憲法》所有條文
  內容，以確保判決符合憲法精神。","法規名稱：中華民國憲法, 條文內容：...",SELECT f_get_law_full_content('A0000001');
2.2,法官,檢索特定法條的詳細內容,"- 法官在分析具體案情時，能精準查詢特定法規的特定法條內容，以確認其適用性。-
  包含條文內容、編章節等，提供法條的完整語境。","作為法官，我需要查詢「政府採購法」的「第 1
  條」條文內容，以確認其立法宗旨。","法規名稱：政府採購法, 條號：第 1 條, 條文內容：為建立政府採購制度，依公平、公開之
  採購程序，提升採購效率與功能，確保採購品質，並維護公共利益及公平合理之採購環境，特制定本法。","SELECT
  f_get_article_details_with_concepts('P0000001', '第 1 條');"
2.3,法官,獲取法律概念的精確定義,"-
  法官在解釋法律術語時，能快速查詢其精確定義、相關概念和相關法條，以確保判決用語的精確性。- 適用於理解特定法律術語，提
  供多維度解釋。",作為法官，我需要查詢「採購」的法律概念定義，以確保判決用語的精確性。,"概念名稱：採購,
  定義：指機關為取得工程、財物或勞務，所為之訂約行為。",SELECT data->>'定義' FROM legal_concepts WHERE name = '採購';
2.4,法官,審閱法規的修正歷史,"-
  法官在處理跨時間的案件時，能審閱特定法規的歷次修正歷史和修正重點，理解法律條文的演變過程及其對案件的影響。-
  追溯法規的演變過程，分析歷史變革對法律適用的影響。","作為法官，我需要審閱《政府採購法》的修正歷史，以了解其條文變遷對
  本案的影響。","修正日期：2001-01-10, 修正重點：修正第七條條文","SELECT law_metadata->'法規時間軸'->'修正歷史' FROM
  laws WHERE xml_law_name = '政府採購法';"
2.5,法官,識別法條中的法律規則,"-
  法官在構建判決書時，能精確提取特定法條中蘊含的法律規則（如IF-THEN邏輯），以便清晰地闡述法律依據。-
  幫助提取法條中的邏輯和指引，支持自動化法律分析。","作為法官，我需要從《政府採購法》第2條中提取其核心法律規則，以便在
  判決中引用。","規則描述：採購定義規則, 規則類型：定義規則,
  規則內容：採購包含：工程之定作、財物之買受、定製、承租及勞務之委任或僱傭等行為。","SELECT
  article_metadata->'法律規則' FROM articles a JOIN laws l ON a.law_id = l.id WHERE l.xml_law_name = '政府採購法' AND
  a.xml_article_number = '第 2 條';"
3.1,檢察官,依名稱快速檢索法規,"-
  檢察官在準備案件時，能快速根據法規名稱（或部分名稱）進行模糊查詢，以定位相關法規。-
  獲取法規的基本身份資訊，如PCode、性質、類別等，作為初步篩選依據。","作為一名檢察官，我需要查詢所有名稱包含「政府採購
  」的法規，以便快速了解相關法律框架。",法規名稱：政府採購法,"SELECT xml_law_name, pcode, xml_law_nature,
  xml_law_category FROM laws WHERE xml_law_name ILIKE '%政府採購%';"
3.2,檢察官,檢索特定法條的詳細內容,"-
  檢察官在分析具體案情時，能精準查詢特定法規的特定法條內容，以確認其適用性。-
  包含條文內容、編章節等，提供法條的完整語境。","作為檢察官，我需要查詢「政府採購法」的「第 1
  條」條文內容，以確認其立法宗旨。","法規名稱：政府採購法, 條號：第 1 條, 條文內容：為建立政府採購制度，依公平、公開之
  採購程序，提升採購效率與功能，確保採購品質，並維護公共利益及公平合理之採購環境，特制定本法。","SELECT
  f_get_article_details_with_concepts('P0000001', '第 1 條');"
